Halaman teratas,Klik,Tayangan,CTR,Posisi
http://sungkargroup.com/paket-wisata/lombok/open-trip/open-trip-motogp-mandalika-2026-4-hari-3-malam/,0,5,0%,37.8
https://www.sungkargroup.com/,0,3,0%,4.33
http://sungkargroup.com/blog/panduan-pertama-ke-lombok/,0,3,0%,4.67
https://sungkargroup.com/en/,0,3,0%,4.67
https://sungkargroup.com/ulasan/,0,2,0%,1.5
http://sungkargroup.com/,0,2,0%,2
http://sungkargroup.com/en/faq,0,2,0%,3.5
https://sungkargroup.com/paket-wisata/lombok/1-hari/paket-wisata-air-terjun-sendang-gile-tiu-kelep/,0,2,0%,5
https://sungkargroup.com/ar/reviews/,0,2,0%,6
http://sungkargroup.com/paket-wisata/sumbawa/open-trip/,0,2,0%,7
http://sungkargroup.com/blog/biaya-liburan-ke-labuan-bajo/,0,2,0%,50.5
http://sungkargroup.com/blog/tips-memilih-paket-wisata-lombok,0,1,0%,1
https://sungkargroup.com/paket-wisata/lombok/3-hari-2-malam/paket-wisata-lombok-3-hari-2-malam-snorkeling-3-gili-mandalika/,0,1,0%,1
https://sungkargroup.com/paket-wisata/lombok/4-hari-3-malam/,0,1,0%,2
http://sungkargroup.com/blog/biaya-liburan-ke-labuan-bajo,0,1,0%,3
https://sungkargroup.com/ms/privacy-policy/,0,1,0%,3
https://sungkargroup.com/en/reviews,0,1,0%,4
http://sungkargroup.com/en/blog/,0,1,0%,5
https://sungkargroup.com/tentang-kami/,0,1,0%,5
http://sungkargroup.com/paket-wisata/sumbawa/,0,1,0%,6
https://sungkargroup.com/paket-wisata,0,1,0%,6
http://sungkargroup.com/paket-wisata/labuan-bajo/,0,1,0%,7
https://www.sungkargroup.com/akomodasi/labuan-bajo,0,1,0%,7
https://www.sungkargroup.com/en/tour-packages/labuan-bajo/open-trip/open-trip-nk-jaya-2/,0,1,0%,7
https://sungkargroup.com/en/travel-guides/,0,1,0%,8
https://sungkargroup.com/paket-wisata/labuan-bajo/open-trip/open-trip-flores-utama/,0,1,0%,8
https://sungkargroup.com/zh/tour-packages/lombok/3-hari-2-malam/,0,1,0%,8
http://sungkargroup.com/destinasi/,0,1,0%,9
https://www.sungkargroup.com/paket-wisata/labuan-bajo/private-trip-luxury-phinisi/luxury-yumana,0,1,0%,9
https://www.sungkargroup.com/paket-wisata/labuan-bajo/private-trip-superior-phinisi,0,1,0%,10
